order_id,customer_id,product_id,category,amount,quantity,payment_method,order_status,order_ts
o_1051,c_051,p_251,Home,297.75,4,Bank Transfer,DELIVERED,2026-01-22 11:03:00
o_1052,c_052,p_252,Fashion,303.0,1,Credit Card,SHIPPED,2026-01-22 11:06:00
o_1053,c_053,p_253,Sports,308.25,2,Debit Card,PROCESSING,2026-01-22 11:09:00
o_1054,c_054,p_254,Toys,313.5,3,Cash,DELIVERED,2026-01-22 11:12:00
o_1055,c_055,p_255,Electronics,318.75,4,Bank Transfer,SHIPPED,2026-01-22 11:15:00
o_1056,c_056,p_256,Home,324.0,1,Credit Card,PROCESSING,2026-01-22 11:18:00
o_1057,c_057,p_257,Fashion,329.25,2,Debit Card,DELIVERED,2026-01-22 11:21:00
o_1058,c_058,p_258,Sports,334.5,3,Cash,SHIPPED,2026-01-22 11:24:00
o_1059,c_059,p_259,Toys,339.75,4,Bank Transfer,PROCESSING,2026-01-22 11:27:00
o_1060,c_060,p_260,Electronics,345.0,1,Credit Card,DELIVERED,2026-01-22 11:30:00
o_1061,c_061,p_261,Home,350.25,2,Debit Card,SHIPPED,2026-01-22 11:33:00
o_1062,c_062,p_262,Fashion,355.5,3,Cash,PROCESSING,2026-01-22 11:36:00
o_1063,c_063,p_263,Sports,360.75,4,Bank Transfer,DELIVERED,2026-01-22 11:39:00
o_1064,c_064,p_264,Toys,366.0,1,Credit Card,SHIPPED,2026-01-22 11:42:00
o_1065,c_065,p_265,Electronics,371.25,2,Debit Card,PROCESSING,2026-01-22 11:45:00
o_1066,c_066,p_266,Home,376.5,3,Cash,DELIVERED,2026-01-22 11:48:00
o_1067,c_067,p_267,Fashion,381.75,4,Bank Transfer,SHIPPED,2026-01-22 11:51:00
o_1068,c_068,p_268,Sports,387.0,1,Credit Card,PROCESSING,2026-01-22 11:54:00
o_1069,c_069,p_269,Toys,392.25,2,Debit Card,DELIVERED,2026-01-22 11:57:00
o_1070,c_070,p_270,Electronics,397.5,3,Cash,SHIPPED,2026-01-22 12:00:00
o_1071,c_071,p_271,Home,402.75,4,Bank Transfer,PROCESSING,2026-01-22 12:03:00
o_1072,c_072,p_272,Fashion,408.0,1,Credit Card,DELIVERED,2026-01-22 12:06:00
o_1073,c_073,p_273,Sports,413.25,2,Debit Card,SHIPPED,2026-01-22 12:09:00
o_1074,c_074,p_274,Toys,418.5,3,Cash,PROCESSING,2026-01-22 12:12:00
o_1075,c_075,p_275,Electronics,423.75,4,Bank Transfer,DELIVERED,2026-01-22 12:15:00
o_1076,c_076,p_276,Home,429.0,1,Credit Card,SHIPPED,2026-01-22 12:18:00
o_1077,c_077,p_277,Fashion,434.25,2,Debit Card,PROCESSING,2026-01-22 12:21:00
o_1078,c_078,p_278,Sports,439.5,3,Cash,DELIVERED,2026-01-22 12:24:00
o_1079,c_079,p_279,Toys,444.75,4,Bank Transfer,SHIPPED,2026-01-22 12:27:00
o_1080,c_080,p_280,Electronics,450.0,1,Credit Card,PROCESSING,2026-01-22 12:30:00
o_1081,c_081,p_281,Home,455.25,2,Debit Card,DELIVERED,2026-01-22 12:33:00
o_1082,c_082,p_282,Fashion,460.5,3,Cash,SHIPPED,2026-01-22 12:36:00
o_1083,c_083,p_283,Sports,465.75,4,Bank Transfer,PROCESSING,2026-01-22 12:39:00
o_1084,c_084,p_284,Toys,471.0,1,Credit Card,DELIVERED,2026-01-22 12:42:00
o_1085,c_085,p_285,Electronics,476.25,2,Debit Card,SHIPPED,2026-01-22 12:45:00
o_1086,c_086,p_286,Home,481.5,3,Cash,PROCESSING,2026-01-22 12:48:00
o_1087,c_087,p_287,Fashion,486.75,4,Bank Transfer,DELIVERED,2026-01-22 12:51:00
o_1088,c_088,p_288,Sports,492.0,1,Credit Card,SHIPPED,2026-01-22 12:54:00
o_1089,c_089,p_289,Toys,497.25,2,Debit Card,PROCESSING,2026-01-22 12:57:00
o_1090,c_090,p_290,Electronics,502.5,3,Cash,DELIVERED,2026-01-22 13:00:00
o_1091,c_091,p_291,Home,507.75,4,Bank Transfer,SHIPPED,2026-01-22 13:03:00
o_1092,c_092,p_292,Fashion,513.0,1,Credit Card,PROCESSING,2026-01-22 13:06:00
o_1093,c_093,p_293,Sports,518.25,2,Debit Card,DELIVERED,2026-01-22 13:09:00
o_1094,c_094,p_294,Toys,523.5,3,Cash,SHIPPED,2026-01-22 13:12:00
o_1095,c_095,p_295,Electronics,528.75,4,Bank Transfer,PROCESSING,2026-01-22 13:15:00
o_1096,c_096,p_296,Home,534.0,1,Credit Card,DELIVERED,2026-01-22 13:18:00
o_1097,c_097,p_297,Fashion,539.25,2,Debit Card,SHIPPED,2026-01-22 13:21:00
o_1098,c_098,p_298,Sports,544.5,3,Cash,PROCESSING,2026-01-22 13:24:00
o_1099,c_099,p_299,Toys,549.75,4,Bank Transfer,DELIVERED,2026-01-22 13:27:00
o_1100,c_100,p_300,Electronics,555.0,1,Credit Card,SHIPPED,2026-01-22 13:30:00
o_1101,c_101,p_301,Home,560.25,2,Debit Card,PROCESSING,2026-01-22 13:33:00
o_1102,c_102,p_302,Fashion,565.5,3,Cash,DELIVERED,2026-01-22 13:36:00
o_1103,c_103,p_303,Sports,570.75,4,Bank Transfer,SHIPPED,2026-01-22 13:39:00
o_1104,c_104,p_304,Toys,576.0,1,Credit Card,PROCESSING,2026-01-22 13:42:00
o_1105,c_105,p_305,Electronics,581.25,2,Debit Card,DELIVERED,2026-01-22 13:45:00
o_1106,c_106,p_306,Home,586.5,3,Cash,SHIPPED,2026-01-22 13:48:00
o_1107,c_107,p_307,Fashion,591.75,4,Bank Transfer,PROCESSING,2026-01-22 13:51:00
o_1108,c_108,p_308,Sports,597.0,1,Credit Card,DELIVERED,2026-01-22 13:54:00
o_1109,c_109,p_309,Toys,602.25,2,Debit Card,SHIPPED,2026-01-22 13:57:00
o_1110,c_110,p_310,Electronics,607.5,3,Cash,PROCESSING,2026-01-22 14:00:00
o_1111,c_111,p_311,Home,612.75,4,Bank Transfer,DELIVERED,2026-01-22 14:03:00
o_1112,c_112,p_312,Fashion,618.0,1,Credit Card,SHIPPED,2026-01-22 14:06:00
o_1113,c_113,p_313,Sports,623.25,2,Debit Card,PROCESSING,2026-01-22 14:09:00
o_1114,c_114,p_314,Toys,628.5,3,Cash,DELIVERED,2026-01-22 14:12:00
o_1115,c_115,p_315,Electronics,633.75,4,Bank Transfer,SHIPPED,2026-01-22 14:15:00
o_1116,c_116,p_316,Home,639.0,1,Credit Card,PROCESSING,2026-01-22 14:18:00
o_1117,c_117,p_317,Fashion,644.25,2,Debit Card,DELIVERED,2026-01-22 14:21:00
o_1118,c_118,p_318,Sports,649.5,3,Cash,SHIPPED,2026-01-22 14:24:00
o_1119,c_119,p_319,Toys,654.75,4,Bank Transfer,PROCESSING,2026-01-22 14:27:00
o_1120,c_120,p_320,Electronics,660.0,1,Credit Card,DELIVERED,2026-01-22 14:30:00
o_1121,c_121,p_321,Home,665.25,2,Debit Card,SHIPPED,2026-01-22 14:33:00
o_1122,c_122,p_322,Fashion,670.5,3,Cash,PROCESSING,2026-01-22 14:36:00
o_1123,c_123,p_323,Sports,675.75,4,Bank Transfer,DELIVERED,2026-01-22 14:39:00
o_1124,c_124,p_324,Toys,681.0,1,Credit Card,SHIPPED,2026-01-22 14:42:00
o_1125,c_125,p_325,Electronics,686.25,2,Debit Card,PROCESSING,2026-01-22 14:45:00
o_1126,c_126,p_326,Home,691.5,3,Cash,DELIVERED,2026-01-22 14:48:00
o_1127,c_127,p_327,Fashion,696.75,4,Bank Transfer,SHIPPED,2026-01-22 14:51:00
