update_id,product_id,price,currency,update_time
1001,p_201,52.26,TRY,2026-01-20 11:00:00
1002,p_202,51.5,TRY,2026-01-20 11:00:05
1003,p_203,54.2,TRY,2026-01-20 11:00:10
1004,p_204,55.69,TRY,2026-01-20 11:00:15
1005,p_205,59.45,TRY,2026-01-20 11:00:20
1006,p_206,60.91,TRY,2026-01-20 11:00:25
1007,p_207,63.47,TRY,2026-01-20 11:00:30
1008,p_208,61.95,TRY,2026-01-20 11:00:35
1009,p_209,64.99,TRY,2026-01-20 11:00:40
1010,p_210,65.12,TRY,2026-01-20 11:00:45
1011,p_211,67.57,TRY,2026-01-20 11:00:50
1012,p_212,70.42,TRY,2026-01-20 11:00:55
1013,p_213,70.21,TRY,2026-01-20 11:01:00
1014,p_214,72.6,TRY,2026-01-20 11:01:05
1015,p_215,76.1,TRY,2026-01-20 11:01:10
1016,p_216,77.38,TRY,2026-01-20 11:01:15
1017,p_217,77.78,TRY,2026-01-20 11:01:20
1018,p_218,80.96,TRY,2026-01-20 11:01:25
1019,p_219,83.54,TRY,2026-01-20 11:01:30
1020,p_220,82.03,TRY,2026-01-20 11:01:35
1021,p_221,86.92,TRY,2026-01-20 11:01:40
1022,p_222,88.19,TRY,2026-01-20 11:01:45
1023,p_223,88.46,TRY,2026-01-20 11:01:50
1024,p_224,89.42,TRY,2026-01-20 11:01:55
1025,p_225,94.33,TRY,2026-01-20 11:02:00
1026,p_226,93.55,TRY,2026-01-20 11:02:05
1027,p_227,94.27,TRY,2026-01-20 11:02:10
1028,p_228,95.99,TRY,2026-01-20 11:02:15
1029,p_229,100.69,TRY,2026-01-20 11:02:20
1030,p_230,101.41,TRY,2026-01-20 11:02:25
1031,p_231,103.93,TRY,2026-01-20 11:02:30
1032,p_232,105.32,TRY,2026-01-20 11:02:35
1033,p_233,106.24,TRY,2026-01-20 11:02:40
1034,p_234,109.69,TRY,2026-01-20 11:02:45
1035,p_235,109.01,TRY,2026-01-20 11:02:50
1036,p_236,111.41,TRY,2026-01-20 11:02:55
1037,p_237,114.22,TRY,2026-01-20 11:03:00
1038,p_238,115.07,TRY,2026-01-20 11:03:05
1039,p_239,117.75,TRY,2026-01-20 11:03:10
1040,p_240,118.31,TRY,2026-01-20 11:03:15
1041,p_201,53.42,TRY,2026-01-20 11:03:20
1042,p_202,52.48,TRY,2026-01-20 11:03:25
1043,p_203,54.91,TRY,2026-01-20 11:03:30
1044,p_204,56.86,TRY,2026-01-20 11:03:35
1045,p_205,57.72,TRY,2026-01-20 11:03:40
1046,p_206,60.03,TRY,2026-01-20 11:03:45
1047,p_207,61.2,TRY,2026-01-20 11:03:50
1048,p_208,63.61,TRY,2026-01-20 11:03:55
1049,p_209,66.74,TRY,2026-01-20 11:04:00
1050,p_210,67.36,TRY,2026-01-20 11:04:05
1051,p_211,69.08,TRY,2026-01-20 11:04:10
1052,p_212,70.14,TRY,2026-01-20 11:04:15
1053,p_213,72.07,TRY,2026-01-20 11:04:20
1054,p_214,76.45,TRY,2026-01-20 11:04:25
1055,p_215,76.99,TRY,2026-01-20 11:04:30
1056,p_216,78.54,TRY,2026-01-20 11:04:35
1057,p_217,78.48,TRY,2026-01-20 11:04:40
1058,p_218,82.42,TRY,2026-01-20 11:04:45
1059,p_219,81.85,TRY,2026-01-20 11:04:50
1060,p_220,84.42,TRY,2026-01-20 11:04:55
1061,p_221,88.56,TRY,2026-01-20 11:05:00
1062,p_222,88.86,TRY,2026-01-20 11:05:05
1063,p_223,90.23,TRY,2026-01-20 11:05:10
1064,p_224,92.44,TRY,2026-01-20 11:05:15
1065,p_225,94.77,TRY,2026-01-20 11:05:20
1066,p_226,96.2,TRY,2026-01-20 11:05:25
1067,p_227,95.72,TRY,2026-01-20 11:05:30
1068,p_228,96.63,TRY,2026-01-20 11:05:35
1069,p_229,99.46,TRY,2026-01-20 11:05:40
1070,p_230,100.97,TRY,2026-01-20 11:05:45
1071,p_231,102.44,TRY,2026-01-20 11:05:50
1072,p_232,107.07,TRY,2026-01-20 11:05:55
1073,p_233,108.51,TRY,2026-01-20 11:06:00
1074,p_234,107.96,TRY,2026-01-20 11:06:05
1075,p_235,111.02,TRY,2026-01-20 11:06:10
1076,p_236,111.68,TRY,2026-01-20 11:06:15
1077,p_237,115.46,TRY,2026-01-20 11:06:20
1078,p_238,115.34,TRY,2026-01-20 11:06:25
1079,p_239,116.26,TRY,2026-01-20 11:06:30
1080,p_240,117.89,TRY,2026-01-20 11:06:35
1081,p_201,53.75,TRY,2026-01-20 11:06:40
1082,p_202,54.25,TRY,2026-01-20 11:06:45
1083,p_203,57.24,TRY,2026-01-20 11:06:50
1084,p_204,60.19,TRY,2026-01-20 11:06:55
1085,p_205,59.9,TRY,2026-01-20 11:07:00
1086,p_206,60.88,TRY,2026-01-20 11:07:05
1087,p_207,65.69,TRY,2026-01-20 11:07:10
1088,p_208,65.44,TRY,2026-01-20 11:07:15
1089,p_209,65.46,TRY,2026-01-20 11:07:20
1090,p_210,66.99,TRY,2026-01-20 11:07:25
1091,p_211,68.94,TRY,2026-01-20 11:07:30
1092,p_212,72.71,TRY,2026-01-20 11:07:35
1093,p_213,75.07,TRY,2026-01-20 11:07:40
1094,p_214,75.29,TRY,2026-01-20 11:07:45
1095,p_215,75.55,TRY,2026-01-20 11:07:50
1096,p_216,78.53,TRY,2026-01-20 11:07:55
1097,p_217,82.68,TRY,2026-01-20 11:08:00
1098,p_218,82.52,TRY,2026-01-20 11:08:05
1099,p_219,85.98,TRY,2026-01-20 11:08:10
1100,p_220,87.24,TRY,2026-01-20 11:08:15
1101,p_221,85.55,TRY,2026-01-20 11:08:20
1102,p_222,90.08,TRY,2026-01-20 11:08:25
1103,p_223,91.63,TRY,2026-01-20 11:08:30
1104,p_224,92.75,TRY,2026-01-20 11:08:35
1105,p_225,93.37,TRY,2026-01-20 11:08:40
1106,p_226,96.56,TRY,2026-01-20 11:08:45
1107,p_227,96.15,TRY,2026-01-20 11:08:50
1108,p_228,99.14,TRY,2026-01-20 11:08:55
1109,p_229,100.91,TRY,2026-01-20 11:09:00
1110,p_230,104.62,TRY,2026-01-20 11:09:05
1111,p_231,106.0,TRY,2026-01-20 11:09:10
1112,p_232,105.25,TRY,2026-01-20 11:09:15
1113,p_233,107.9,TRY,2026-01-20 11:09:20
1114,p_234,108.31,TRY,2026-01-20 11:09:25
1115,p_235,112.95,TRY,2026-01-20 11:09:30
1116,p_236,114.48,TRY,2026-01-20 11:09:35
1117,p_237,113.89,TRY,2026-01-20 11:09:40
1118,p_238,116.96,TRY,2026-01-20 11:09:45
1119,p_239,118.54,TRY,2026-01-20 11:09:50
1120,p_240,118.41,TRY,2026-01-20 11:09:55
1121,p_201,55.45,TRY,2026-01-20 11:10:00
1122,p_202,56.26,TRY,2026-01-20 11:10:05
1123,p_203,58.91,TRY,2026-01-20 11:10:10
1124,p_204,59.62,TRY,2026-01-20 11:10:15
1125,p_205,59.2,TRY,2026-01-20 11:10:20
1126,p_206,62.2,TRY,2026-01-20 11:10:25
1127,p_207,62.68,TRY,2026-01-20 11:10:30
1128,p_208,68.02,TRY,2026-01-20 11:10:35
1129,p_209,69.51,TRY,2026-01-20 11:10:40
1130,p_210,71.03,TRY,2026-01-20 11:10:45
1131,p_211,70.63,TRY,2026-01-20 11:10:50
1132,p_212,71.33,TRY,2026-01-20 11:10:55
1133,p_213,76.31,TRY,2026-01-20 11:11:00
1134,p_214,78.29,TRY,2026-01-20 11:11:05
1135,p_215,76.54,TRY,2026-01-20 11:11:10
1136,p_216,79.84,TRY,2026-01-20 11:11:15
1137,p_217,79.88,TRY,2026-01-20 11:11:20
1138,p_218,84.34,TRY,2026-01-20 11:11:25
1139,p_219,86.06,TRY,2026-01-20 11:11:30
1140,p_220,85.21,TRY,2026-01-20 11:11:35
1141,p_221,88.3,TRY,2026-01-20 11:11:40
1142,p_222,90.3,TRY,2026-01-20 11:11:45
1143,p_223,90.86,TRY,2026-01-20 11:11:50
1144,p_224,94.99,TRY,2026-01-20 11:11:55
1145,p_225,94.89,TRY,2026-01-20 11:12:00
1146,p_226,95.75,TRY,2026-01-20 11:12:05
1147,p_227,98.76,TRY,2026-01-20 11:12:10
1148,p_228,101.22,TRY,2026-01-20 11:12:15
1149,p_229,100.8,TRY,2026-01-20 11:12:20
1150,p_230,102.95,TRY,2026-01-20 11:12:25
1151,p_231,107.38,TRY,2026-01-20 11:12:30
1152,p_232,107.7,TRY,2026-01-20 11:12:35
1153,p_233,108.55,TRY,2026-01-20 11:12:40
1154,p_234,110.57,TRY,2026-01-20 11:12:45
1155,p_235,110.68,TRY,2026-01-20 11:12:50
1156,p_236,112.8,TRY,2026-01-20 11:12:55
1157,p_237,114.95,TRY,2026-01-20 11:13:00
1158,p_238,117.65,TRY,2026-01-20 11:13:05
1159,p_239,117.92,TRY,2026-01-20 11:13:10
1160,p_240,119.58,TRY,2026-01-20 11:13:15
1161,p_201,53.58,TRY,2026-01-20 11:13:20
1162,p_202,57.52,TRY,2026-01-20 11:13:25
1163,p_203,57.62,TRY,2026-01-20 11:13:30
1164,p_204,62.02,TRY,2026-01-20 11:13:35
1165,p_205,63.54,TRY,2026-01-20 11:13:40
1166,p_206,62.08,TRY,2026-01-20 11:13:45
1167,p_207,64.45,TRY,2026-01-20 11:13:50
1168,p_208,67.88,TRY,2026-01-20 11:13:55
1169,p_209,67.76,TRY,2026-01-20 11:14:00
1170,p_210,69.13,TRY,2026-01-20 11:14:05
1171,p_211,74.04,TRY,2026-01-20 11:14:10
1172,p_212,74.28,TRY,2026-01-20 11:14:15
1173,p_213,75.59,TRY,2026-01-20 11:14:20
1174,p_214,78.54,TRY,2026-01-20 11:14:25
1175,p_215,80.33,TRY,2026-01-20 11:14:30
1176,p_216,79.56,TRY,2026-01-20 11:14:35
1177,p_217,80.89,TRY,2026-01-20 11:14:40
1178,p_218,83.92,TRY,2026-01-20 11:14:45
1179,p_219,85.59,TRY,2026-01-20 11:14:50
1180,p_220,87.47,TRY,2026-01-20 11:14:55
1181,p_221,90.22,TRY,2026-01-20 11:15:00
1182,p_222,91.69,TRY,2026-01-20 11:15:05
1183,p_223,94.64,TRY,2026-01-20 11:15:10
1184,p_224,92.79,TRY,2026-01-20 11:15:15
1185,p_225,95.71,TRY,2026-01-20 11:15:20
1186,p_226,97.16,TRY,2026-01-20 11:15:25
1187,p_227,100.95,TRY,2026-01-20 11:15:30
1188,p_228,100.19,TRY,2026-01-20 11:15:35
1189,p_229,101.66,TRY,2026-01-20 11:15:40
1190,p_230,104.39,TRY,2026-01-20 11:15:45
1191,p_231,105.99,TRY,2026-01-20 11:15:50
1192,p_232,107.11,TRY,2026-01-20 11:15:55
1193,p_233,108.7,TRY,2026-01-20 11:16:00
1194,p_234,113.09,TRY,2026-01-20 11:16:05
1195,p_235,112.87,TRY,2026-01-20 11:16:10
1196,p_236,116.25,TRY,2026-01-20 11:16:15
1197,p_237,116.7,TRY,2026-01-20 11:16:20
1198,p_238,116.4,TRY,2026-01-20 11:16:25
1199,p_239,121.9,TRY,2026-01-20 11:16:30
1200,p_240,122.94,TRY,2026-01-20 11:16:35
1201,p_201,58.08,TRY,2026-01-20 11:16:40
